Pop_IMD,Total,Baseline_Count,CDC_Count,Total_percentage,Baseline_Count_percentage,CDC_Count_percentage
2.0,1483.0,393,866,0.9827309715982134,13.349184782608695,15.055632823365785
3.0,1340.0,540,1009,0.8879699945661538,18.342391304347828,17.54172461752434
4.0,3195.0,310,583,2.117212039282732,10.529891304347826,10.135605006954103
5.0,2971.0,330,683,1.9687752640716736,11.209239130434783,11.874130737134909
6.0,15430.0,455,800,10.224908221011756,15.455163043478262,13.908205841446453
7.0,31233.0,178,434,20.696990179316927,6.046195652173913,7.545201668984701
8.0,26279.0,317,569,17.414151856122352,10.767663043478262,9.89221140472879
9.0,30754.0,224,436,20.379574039468277,7.608695652173914,7.579972183588317
10.0,38221.0,76,153,25.327687434561913,2.5815217391304346,2.6599443671766343
1.0,,121,219,,4.110054347826087,3.807371349095966
